problem_id	prompt	answer	pid_target	pid_1	pid_2	pid_3	pid_4	response	r_parsed	correct
23	"Q: Consider a Sudoku grid with the following numbers:
(row 5, column 8) contains 6
(row 5, column 6) contains 7
(row 6, column 3) contains 2
(row 7, column 4) contains 2
(row 3, column 9) contains 2
(row 4, column 3) contains 4
(row 3, column 5) contains 4
(row 2, column 9) contains 4
(row 5, column 4) contains 1
What number must (row 5, column 7) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 7) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 7) contains 1
(row 2, column 9) contains 6
(row 5, column 2) contains 6
(row 7, column 5) contains 6
(row 4, column 4) contains 2
(row 2, column 2) contains 9
(row 5, column 3) contains 9
(row 3, column 5) contains 9
(row 4, column 8) contains 7
What number must (row 4, column 6) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 6) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 1) contains 5
(row 1, column 7) contains 5
(row 5, column 6) contains 3
(row 5, column 5) contains 8
(row 7, column 9) contains 9
(row 6, column 3) contains 9
(row 3, column 7) contains 9
(row 5, column 4) contains 7
(row 8, column 5) contains 5
What number must (row 5, column 8) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 8) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 4) contains 2
(row 6, column 2) contains 9
(row 1, column 2) contains 3
(row 5, column 7) contains 6
(row 8, column 3) contains 2
(row 3, column 8) contains 6
(row 6, column 7) contains 2
(row 9, column 1) contains 6
(row 4, column 2) contains 1
What number must (row 2, column 2) contain?
Hint: use the hidden single technique along column 2.
A: (row 2, column 2) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 6) contains 5
(row 1, column 7) contains 9
(row 4, column 9) contains 5
(row 2, column 7) contains 1
(row 3, column 1) contains 5
(row 9, column 7) contains 4
(row 5, column 9) contains 2
(row 8, column 2) contains 2
(row 2, column 4) contains 2
What number must (row 7, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 7, column 7) must contain"	5	17054	172334	175184	176594	177404	 9	9	False
24	"Q: Consider a Sudoku grid with the following numbers:
(row 2, column 2) contains 3
(row 6, column 7) contains 6
(row 3, column 4) contains 6
(row 7, column 5) contains 4
(row 2, column 1) contains 2
(row 3, column 6) contains 4
(row 2, column 3) contains 7
(row 7, column 8) contains 6
(row 9, column 7) contains 4
What number must (row 2, column 9) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 9) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 3) contains 5
(row 8, column 3) contains 9
(row 4, column 4) contains 9
(row 9, column 8) contains 4
(row 2, column 9) contains 5
(row 9, column 5) contains 2
(row 9, column 7) contains 7
(row 3, column 4) contains 5
(row 3, column 8) contains 9
What number must (row 9, column 6) contain?
Hint: use the hidden single technique along row 9.
A: (row 9, column 6) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 7) contains 6
(row 3, column 3) contains 3
(row 2, column 5) contains 9
(row 3, column 8) contains 7
(row 8, column 6) contains 9
(row 2, column 4) contains 2
(row 4, column 1) contains 2
(row 6, column 9) contains 9
(row 9, column 9) contains 2
What number must (row 3, column 2) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 2) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 8) contains 6
(row 9, column 4) contains 8
(row 4, column 7) contains 8
(row 3, column 6) contains 5
(row 1, column 6) contains 2
(row 9, column 5) contains 6
(row 6, column 6) contains 9
(row 5, column 1) contains 8
(row 8, column 9) contains 6
What number must (row 2, column 6) contain?
Hint: use the hidden single technique along column 6.
A: (row 2, column 6) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 7) contains 6
(row 2, column 8) contains 3
(row 4, column 3) contains 3
(row 5, column 9) contains 1
(row 4, column 2) contains 6
(row 5, column 5) contains 3
(row 9, column 9) contains 2
(row 7, column 3) contains 6
(row 8, column 9) contains 4
What number must (row 6, column 9) contain?
Hint: use the hidden single technique along column 9.
A: (row 6, column 9) must contain"	6	285164	177524	179114	180554	181079	 1	1	False
25	"Q: Consider a Sudoku grid with the following numbers:
(row 3, column 1) contains 5
(row 6, column 7) contains 2
(row 7, column 9) contains 5
(row 5, column 7) contains 9
(row 4, column 7) contains 3
(row 3, column 4) contains 8
(row 4, column 3) contains 5
(row 1, column 2) contains 8
(row 8, column 8) contains 8
What number must (row 2, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 2, column 7) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 3) contains 8
(row 7, column 1) contains 5
(row 4, column 9) contains 5
(row 4, column 4) contains 8
(row 8, column 7) contains 7
(row 5, column 8) contains 8
(row 9, column 7) contains 2
(row 1, column 6) contains 5
(row 3, column 7) contains 1
What number must (row 2, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 2, column 7) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 9) contains 6
(row 1, column 6) contains 6
(row 4, column 9) contains 4
(row 6, column 5) contains 7
(row 3, column 4) contains 4
(row 7, column 8) contains 4
(row 7, column 2) contains 6
(row 5, column 5) contains 3
(row 8, column 5) contains 1
What number must (row 9, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 9, column 5) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 7) contains 2
(row 7, column 4) contains 4
(row 2, column 3) contains 5
(row 5, column 9) contains 2
(row 3, column 8) contains 4
(row 2, column 2) contains 9
(row 2, column 1) contains 3
(row 4, column 6) contains 4
(row 6, column 4) contains 2
What number must (row 2, column 5) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 5) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 7) contains 6
(row 5, column 2) contains 5
(row 5, column 6) contains 9
(row 5, column 3) contains 2
(row 2, column 1) contains 6
(row 7, column 3) contains 8
(row 3, column 5) contains 6
(row 6, column 8) contains 8
(row 8, column 5) contains 8
What number must (row 5, column 4) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 4) must contain"	6	332144	183614	183764	184784	187979	 7	7	False
26	"Q: Consider a Sudoku grid with the following numbers:
(row 7, column 7) contains 3
(row 5, column 8) contains 3
(row 9, column 3) contains 1
(row 5, column 2) contains 4
(row 8, column 6) contains 4
(row 3, column 3) contains 2
(row 7, column 9) contains 4
(row 1, column 3) contains 9
(row 4, column 2) contains 3
What number must (row 2, column 3) contain?
Hint: use the hidden single technique along column 3.
A: (row 2, column 3) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 7) contains 3
(row 6, column 9) contains 5
(row 7, column 8) contains 5
(row 5, column 6) contains 6
(row 3, column 5) contains 3
(row 7, column 1) contains 3
(row 6, column 6) contains 4
(row 9, column 6) contains 1
(row 1, column 5) contains 5
What number must (row 8, column 6) contain?
Hint: use the hidden single technique along column 6.
A: (row 8, column 6) must contain 3

Q: Consider a Sudoku grid with the following numbers:
(row 9, column 2) contains 9
(row 4, column 1) contains 7
(row 2, column 8) contains 9
(row 2, column 9) contains 6
(row 9, column 3) contains 6
(row 6, column 1) contains 4
(row 1, column 1) contains 8
(row 7, column 4) contains 6
(row 5, column 7) contains 9
What number must (row 3, column 1) contain?
Hint: use the hidden single technique along column 1.
A: (row 3, column 1) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 5) contains 9
(row 1, column 2) contains 6
(row 5, column 6) contains 6
(row 7, column 5) contains 6
(row 2, column 4) contains 3
(row 8, column 8) contains 9
(row 2, column 6) contains 8
(row 1, column 3) contains 9
(row 2, column 7) contains 5
What number must (row 2, column 9) contain?
Hint: use the hidden single technique along row 2.
A: (row 2, column 9) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 1) contains 6
(row 4, column 5) contains 3
(row 1, column 5) contains 1
(row 5, column 7) contains 9
(row 6, column 5) contains 4
(row 9, column 4) contains 6
(row 2, column 2) contains 9
(row 6, column 9) contains 6
(row 9, column 6) contains 9
What number must (row 3, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 3, column 5) must contain"	9	266654	189749	190919	194039	195179	 8	8	False
27	"Q: Consider a Sudoku grid with the following numbers:
(row 1, column 2) contains 4
(row 9, column 6) contains 5
(row 9, column 7) contains 8
(row 8, column 6) contains 8
(row 5, column 3) contains 5
(row 2, column 4) contains 5
(row 3, column 2) contains 2
(row 2, column 2) contains 6
(row 6, column 3) contains 8
What number must (row 7, column 2) contain?
Hint: use the hidden single technique along column 2.
A: (row 7, column 2) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 6) contains 3
(row 8, column 5) contains 1
(row 7, column 8) contains 8
(row 5, column 8) contains 6
(row 2, column 9) contains 1
(row 6, column 8) contains 2
(row 8, column 1) contains 3
(row 9, column 1) contains 1
(row 3, column 9) contains 3
What number must (row 4, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 4, column 8) must contain 1

Q: Consider a Sudoku grid with the following numbers:
(row 9, column 8) contains 8
(row 7, column 3) contains 2
(row 3, column 5) contains 3
(row 9, column 7) contains 9
(row 2, column 9) contains 2
(row 9, column 4) contains 1
(row 4, column 5) contains 2
(row 5, column 2) contains 3
(row 8, column 3) contains 3
What number must (row 9, column 6) contain?
Hint: use the hidden single technique along row 9.
A: (row 9, column 6) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 1) contains 2
(row 9, column 3) contains 9
(row 5, column 2) contains 2
(row 9, column 5) contains 4
(row 9, column 4) contains 8
(row 7, column 7) contains 1
(row 1, column 2) contains 1
(row 8, column 8) contains 2
(row 4, column 5) contains 1
What number must (row 9, column 6) contain?
Hint: use the hidden single technique along row 9.
A: (row 9, column 6) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 6) contains 4
(row 3, column 6) contains 3
(row 6, column 3) contains 3
(row 8, column 5) contains 6
(row 7, column 5) contains 9
(row 5, column 8) contains 4
(row 9, column 9) contains 4
(row 9, column 5) contains 7
(row 5, column 9) contains 3
What number must (row 4, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 4, column 5) must contain"	3	107234	196844	197159	198524	198659	 1	1	False
28	"Q: Consider a Sudoku grid with the following numbers:
(row 4, column 7) contains 5
(row 1, column 6) contains 5
(row 7, column 2) contains 2
(row 5, column 2) contains 6
(row 8, column 4) contains 4
(row 3, column 1) contains 5
(row 6, column 2) contains 3
(row 2, column 3) contains 4
(row 4, column 8) contains 4
What number must (row 9, column 2) contain?
Hint: use the hidden single technique along column 2.
A: (row 9, column 2) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 8, column 6) contains 9
(row 4, column 5) contains 1
(row 2, column 6) contains 8
(row 1, column 6) contains 6
(row 1, column 9) contains 1
(row 7, column 2) contains 1
(row 5, column 5) contains 7
(row 3, column 3) contains 7
(row 7, column 7) contains 7
What number must (row 9, column 6) contain?
Hint: use the hidden single technique along column 6.
A: (row 9, column 6) must contain 7

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 8) contains 5
(row 5, column 7) contains 9
(row 8, column 1) contains 2
(row 1, column 5) contains 7
(row 3, column 9) contains 2
(row 6, column 6) contains 2
(row 5, column 2) contains 4
(row 7, column 1) contains 7
(row 4, column 4) contains 7
What number must (row 5, column 3) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 3) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 9) contains 9
(row 3, column 4) contains 1
(row 3, column 1) contains 2
(row 1, column 7) contains 8
(row 5, column 5) contains 9
(row 4, column 5) contains 8
(row 9, column 4) contains 8
(row 9, column 6) contains 9
(row 3, column 2) contains 4
What number must (row 3, column 3) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 3) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 1) contains 9
(row 4, column 2) contains 1
(row 9, column 5) contains 2
(row 6, column 2) contains 2
(row 2, column 1) contains 6
(row 8, column 8) contains 2
(row 8, column 9) contains 1
(row 1, column 1) contains 3
(row 2, column 8) contains 1
What number must (row 3, column 1) contain?
Hint: use the hidden single technique along column 1.
A: (row 3, column 1) must contain"	2	194084	199454	199469	199949	200864	 4	4	False
29	"Q: Consider a Sudoku grid with the following numbers:
(row 3, column 2) contains 1
(row 8, column 4) contains 6
(row 7, column 3) contains 6
(row 4, column 2) contains 5
(row 8, column 1) contains 2
(row 5, column 7) contains 6
(row 2, column 2) contains 8
(row 1, column 8) contains 2
(row 5, column 9) contains 2
What number must (row 6, column 2) contain?
Hint: use the hidden single technique along column 2.
A: (row 6, column 2) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 9) contains 4
(row 7, column 7) contains 9
(row 2, column 3) contains 5
(row 4, column 2) contains 3
(row 4, column 1) contains 7
(row 9, column 4) contains 9
(row 6, column 4) contains 5
(row 6, column 6) contains 9
(row 1, column 7) contains 5
What number must (row 4, column 8) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 8) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 9) contains 5
(row 6, column 2) contains 3
(row 4, column 5) contains 7
(row 4, column 4) contains 1
(row 5, column 3) contains 8
(row 9, column 9) contains 8
(row 1, column 7) contains 3
(row 3, column 8) contains 8
(row 8, column 8) contains 3
What number must (row 4, column 6) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 6) must contain 3

Q: Consider a Sudoku grid with the following numbers:
(row 9, column 9) contains 7
(row 8, column 3) contains 1
(row 2, column 2) contains 9
(row 2, column 1) contains 7
(row 7, column 3) contains 8
(row 1, column 5) contains 9
(row 4, column 6) contains 9
(row 5, column 3) contains 6
(row 4, column 7) contains 7
What number must (row 6, column 3) contain?
Hint: use the hidden single technique along column 3.
A: (row 6, column 3) must contain 7

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 2) contains 5
(row 3, column 9) contains 4
(row 5, column 2) contains 4
(row 7, column 8) contains 3
(row 7, column 1) contains 6
(row 3, column 7) contains 8
(row 6, column 9) contains 8
(row 9, column 5) contains 4
(row 8, column 6) contains 8
What number must (row 7, column 3) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 3) must contain"	8	169364	202499	203909	204734	208124	 9	9	False
30	"Q: Consider a Sudoku grid with the following numbers:
(row 1, column 7) contains 9
(row 2, column 4) contains 8
(row 9, column 6) contains 9
(row 5, column 3) contains 5
(row 7, column 2) contains 8
(row 3, column 3) contains 6
(row 1, column 8) contains 8
(row 8, column 1) contains 9
(row 4, column 3) contains 2
What number must (row 6, column 3) contain?
Hint: use the hidden single technique along column 3.
A: (row 6, column 3) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 9) contains 1
(row 9, column 3) contains 1
(row 8, column 5) contains 1
(row 8, column 8) contains 2
(row 7, column 1) contains 8
(row 1, column 8) contains 5
(row 3, column 8) contains 6
(row 9, column 6) contains 8
(row 5, column 9) contains 8
What number must (row 2, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 2, column 8) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 4) contains 5
(row 5, column 5) contains 8
(row 6, column 3) contains 7
(row 2, column 9) contains 5
(row 5, column 8) contains 2
(row 1, column 9) contains 7
(row 8, column 2) contains 7
(row 6, column 1) contains 5
(row 5, column 7) contains 1
What number must (row 5, column 6) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 6) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 2) contains 1
(row 4, column 5) contains 8
(row 1, column 7) contains 1
(row 9, column 6) contains 5
(row 6, column 5) contains 2
(row 6, column 1) contains 5
(row 3, column 5) contains 6
(row 8, column 4) contains 1
(row 1, column 2) contains 5
What number must (row 2, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 2, column 5) must contain 1

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 7) contains 3
(row 7, column 4) contains 3
(row 6, column 3) contains 9
(row 5, column 6) contains 1
(row 2, column 2) contains 3
(row 8, column 3) contains 2
(row 3, column 2) contains 1
(row 4, column 3) contains 6
(row 7, column 9) contains 1
What number must (row 9, column 3) contain?
Hint: use the hidden single technique along column 3.
A: (row 9, column 3) must contain"	1	242954	208229	212744	213629	215369	 9	9	False
31	"Q: Consider a Sudoku grid with the following numbers:
(row 6, column 3) contains 2
(row 5, column 7) contains 6
(row 5, column 4) contains 8
(row 5, column 8) contains 9
(row 2, column 1) contains 4
(row 6, column 2) contains 4
(row 8, column 9) contains 2
(row 7, column 9) contains 4
(row 3, column 6) contains 2
What number must (row 5, column 5) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 5) must contain 2

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 7) contains 4
(row 7, column 6) contains 4
(row 8, column 4) contains 8
(row 4, column 2) contains 4
(row 6, column 5) contains 9
(row 1, column 5) contains 3
(row 2, column 7) contains 8
(row 3, column 5) contains 6
(row 4, column 8) contains 8
What number must (row 5, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 5, column 5) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 9, column 7) contains 9
(row 7, column 1) contains 7
(row 9, column 6) contains 6
(row 1, column 5) contains 7
(row 6, column 9) contains 5
(row 3, column 4) contains 5
(row 4, column 4) contains 7
(row 7, column 3) contains 5
(row 9, column 5) contains 3
What number must (row 9, column 8) contain?
Hint: use the hidden single technique along row 9.
A: (row 9, column 8) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 1) contains 6
(row 6, column 7) contains 4
(row 8, column 1) contains 8
(row 6, column 3) contains 1
(row 5, column 6) contains 8
(row 3, column 9) contains 3
(row 2, column 9) contains 8
(row 4, column 4) contains 3
(row 2, column 2) contains 3
What number must (row 6, column 8) contain?
Hint: use the hidden single technique along row 6.
A: (row 6, column 8) must contain 3

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 7) contains 5
(row 5, column 4) contains 3
(row 6, column 4) contains 5
(row 7, column 5) contains 3
(row 4, column 8) contains 5
(row 1, column 3) contains 9
(row 1, column 1) contains 7
(row 3, column 9) contains 3
(row 1, column 2) contains 8
What number must (row 1, column 6) contain?
Hint: use the hidden single technique along row 1.
A: (row 1, column 6) must contain"	3	246809	216929	218609	218684	220649	 4	4	False
32	"Q: Consider a Sudoku grid with the following numbers:
(row 8, column 9) contains 9
(row 6, column 4) contains 9
(row 4, column 1) contains 1
(row 7, column 7) contains 6
(row 4, column 8) contains 2
(row 2, column 7) contains 9
(row 9, column 4) contains 6
(row 6, column 6) contains 6
(row 4, column 2) contains 3
What number must (row 4, column 3) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 3) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 7) contains 9
(row 3, column 1) contains 3
(row 8, column 6) contains 4
(row 3, column 3) contains 6
(row 7, column 8) contains 4
(row 6, column 8) contains 9
(row 2, column 4) contains 4
(row 1, column 6) contains 9
(row 3, column 2) contains 7
What number must (row 3, column 9) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 9) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 7) contains 6
(row 8, column 1) contains 4
(row 8, column 2) contains 5
(row 2, column 6) contains 5
(row 2, column 5) contains 4
(row 3, column 8) contains 8
(row 7, column 9) contains 4
(row 6, column 9) contains 5
(row 3, column 1) contains 2
What number must (row 3, column 3) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 3) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 6) contains 7
(row 9, column 3) contains 4
(row 1, column 7) contains 4
(row 7, column 5) contains 6
(row 1, column 4) contains 5
(row 9, column 2) contains 5
(row 7, column 8) contains 3
(row 2, column 7) contains 5
(row 6, column 8) contains 4
What number must (row 7, column 9) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 9) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 6) contains 4
(row 4, column 6) contains 2
(row 7, column 5) contains 1
(row 6, column 1) contains 4
(row 7, column 9) contains 3
(row 9, column 1) contains 2
(row 6, column 8) contains 2
(row 8, column 3) contains 4
(row 7, column 7) contains 7
What number must (row 7, column 4) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 4) must contain"	2	341909	221129	221639	221849	222089	 6	6	False
33	"Q: Consider a Sudoku grid with the following numbers:
(row 3, column 9) contains 4
(row 6, column 7) contains 5
(row 1, column 2) contains 5
(row 4, column 8) contains 9
(row 7, column 8) contains 5
(row 7, column 1) contains 9
(row 3, column 6) contains 8
(row 2, column 2) contains 9
(row 3, column 5) contains 6
What number must (row 3, column 4) contain?
Hint: use the hidden single technique along row 3.
A: (row 3, column 4) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 9) contains 7
(row 5, column 8) contains 5
(row 9, column 1) contains 7
(row 7, column 3) contains 9
(row 9, column 8) contains 8
(row 6, column 8) contains 4
(row 7, column 4) contains 7
(row 2, column 9) contains 9
(row 8, column 4) contains 9
What number must (row 4, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 4, column 8) must contain 9

Q: Consider a Sudoku grid with the following numbers:
(row 3, column 7) contains 6
(row 6, column 5) contains 6
(row 5, column 2) contains 7
(row 7, column 3) contains 6
(row 4, column 5) contains 8
(row 8, column 8) contains 8
(row 5, column 9) contains 2
(row 5, column 7) contains 3
(row 3, column 3) contains 8
What number must (row 5, column 1) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 1) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 5, column 5) contains 4
(row 5, column 6) contains 5
(row 6, column 9) contains 6
(row 5, column 4) contains 9
(row 6, column 7) contains 8
(row 2, column 3) contains 8
(row 7, column 3) contains 6
(row 2, column 6) contains 6
(row 9, column 2) contains 8
What number must (row 5, column 1) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 1) must contain 8

Q: Consider a Sudoku grid with the following numbers:
(row 4, column 4) contains 5
(row 6, column 8) contains 3
(row 7, column 7) contains 5
(row 7, column 5) contains 1
(row 8, column 9) contains 1
(row 3, column 8) contains 4
(row 1, column 5) contains 5
(row 1, column 4) contains 1
(row 2, column 8) contains 9
What number must (row 5, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 5, column 8) must contain"	5	90164	228359	231824	232229	232379	 6	6	False
34	"Q: Consider a Sudoku grid with the following numbers:
(row 1, column 9) contains 4
(row 6, column 9) contains 1
(row 2, column 2) contains 4
(row 4, column 6) contains 1
(row 7, column 1) contains 3
(row 9, column 1) contains 6
(row 1, column 2) contains 1
(row 4, column 4) contains 4
(row 8, column 1) contains 8
What number must (row 5, column 1) contain?
Hint: use the hidden single technique along column 1.
A: (row 5, column 1) must contain 1

Q: Consider a Sudoku grid with the following numbers:
(row 9, column 1) contains 3
(row 6, column 5) contains 6
(row 8, column 5) contains 4
(row 2, column 6) contains 7
(row 9, column 7) contains 7
(row 4, column 9) contains 7
(row 7, column 8) contains 3
(row 2, column 4) contains 3
(row 4, column 5) contains 8
What number must (row 5, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 5, column 5) must contain 3

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 3) contains 1
(row 2, column 7) contains 4
(row 4, column 5) contains 7
(row 9, column 4) contains 1
(row 8, column 2) contains 1
(row 6, column 8) contains 4
(row 1, column 5) contains 3
(row 3, column 5) contains 6
(row 7, column 6) contains 4
What number must (row 5, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 5, column 5) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 5) contains 3
(row 3, column 2) contains 7
(row 5, column 8) contains 4
(row 3, column 5) contains 6
(row 6, column 2) contains 4
(row 4, column 5) contains 5
(row 6, column 7) contains 7
(row 9, column 6) contains 7
(row 7, column 6) contains 4
What number must (row 1, column 5) contain?
Hint: use the hidden single technique along column 5.
A: (row 1, column 5) must contain 4

Q: Consider a Sudoku grid with the following numbers:
(row 7, column 7) contains 8
(row 1, column 2) contains 7
(row 5, column 3) contains 6
(row 9, column 1) contains 6
(row 6, column 7) contains 5
(row 2, column 9) contains 7
(row 8, column 7) contains 1
(row 3, column 9) contains 6
(row 9, column 5) contains 7
What number must (row 4, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 4, column 7) must contain"	6	162659	233039	233654	233669	234794	 2	2	False
35	"Q: Consider a Sudoku grid with the following numbers:
(row 5, column 4) contains 5
(row 2, column 8) contains 6
(row 5, column 6) contains 2
(row 6, column 2) contains 1
(row 3, column 8) contains 1
(row 9, column 9) contains 6
(row 5, column 5) contains 8
(row 4, column 1) contains 6
(row 2, column 1) contains 1
What number must (row 5, column 7) contain?
Hint: use the hidden single technique along row 5.
A: (row 5, column 7) must contain 6

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 9) contains 5
(row 9, column 7) contains 3
(row 5, column 3) contains 7
(row 5, column 7) contains 8
(row 1, column 8) contains 7
(row 8, column 3) contains 5
(row 7, column 6) contains 7
(row 7, column 5) contains 5
(row 6, column 7) contains 9
What number must (row 4, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 4, column 7) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 1, column 2) contains 2
(row 1, column 7) contains 4
(row 5, column 8) contains 5
(row 8, column 9) contains 7
(row 7, column 9) contains 5
(row 1, column 3) contains 9
(row 2, column 4) contains 5
(row 9, column 2) contains 7
(row 3, column 6) contains 7
What number must (row 1, column 1) contain?
Hint: use the hidden single technique along row 1.
A: (row 1, column 1) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 2, column 9) contains 4
(row 1, column 5) contains 9
(row 5, column 3) contains 9
(row 5, column 7) contains 5
(row 1, column 2) contains 5
(row 9, column 9) contains 2
(row 3, column 9) contains 3
(row 4, column 7) contains 9
(row 8, column 4) contains 5
What number must (row 7, column 9) contain?
Hint: use the hidden single technique along column 9.
A: (row 7, column 9) must contain 5

Q: Consider a Sudoku grid with the following numbers:
(row 6, column 7) contains 5
(row 8, column 5) contains 5
(row 3, column 4) contains 9
(row 4, column 3) contains 7
(row 7, column 1) contains 9
(row 2, column 1) contains 5
(row 4, column 6) contains 8
(row 4, column 4) contains 6
(row 5, column 8) contains 9
What number must (row 4, column 2) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 2) must contain"	5	23429	236519	238934	240104	241004	 7	7	False
